datetime,Unnamed: 0_x,name,tempmax_x,tempmin_x,temp,feelslikemax_x,feelslikemin_x,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed_x,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations,Unnamed: 0_y,weathercode,tempmax_y,tempmin_y,temperature_2m_mean,feelslikemax_y,feelslikemin_y,apparent_temperature_mean,precipitation_sum,rain_sum,precipitation_hours ,windspeed_y,et0_fao_evapotranspiration,river_discharge
2014-02-12,42,Chittagong,27.0,20.8,23.4,28.2,20.8,23.5,17.9,73.5,0.0,0,0.0,,,,,22.3,322.6,1009.2,31.0,2.9,213.3,18.4,8,,2014-02-12T06:26:26,2014-02-12T17:47:52,0.41,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"41963099999,41966099999,41965099999,41978099999,41964099999,VGEG,remote,41989099999",1503,1,26.5,19.7,22.7,28.6,19.6,23.8,0.0,0.0,0,14.2,3.85,0.16
2014-02-13,43,Chittagong,30.0,18.0,23.3,29.6,18.0,23.2,14.1,60.8,0.0,0,0.0,,,,,22.3,355.8,1012.6,6.9,4.5,243.5,21.0,9,,2014-02-13T06:25:50,2014-02-13T17:48:26,0.44,Clear,Clear conditions throughout the day.,clear-day,"41963099999,41966099999,41965099999,41978099999,41964099999,VGEG,remote,41989099999",1504,0,27.8,18.3,22.6,28.2,17.0,21.8,0.0,0.0,0,12.9,4.94,0.16
2014-02-14,44,Chittagong,28.1,16.6,21.8,27.0,16.6,21.7,12.4,59.7,0.0,0,0.0,,,,,14.8,340.0,1012.4,14.8,4.4,246.8,21.2,9,,2014-02-14T06:25:13,2014-02-14T17:48:59,0.48,Clear,Clear conditions throughout the day.,clear-day,"41963099999,41966099999,41965099999,41978099999,41964099999,VGEG,remote,41989099999",1505,0,27.2,17.1,22.0,27.6,16.5,21.5,0.0,0.0,0,11.9,4.64,0.16
2014-02-15,45,Chittagong,28.0,14.0,22.0,27.5,14.0,22.0,13.1,60.0,0.0,0,0.0,,,,,18.4,300.5,1010.5,4.4,4.0,228.9,19.7,8,,2014-02-15T06:24:36,2014-02-15T17:49:32,0.5,Clear,Clear conditions throughout the day.,clear-day,"41963099999,41966099999,41965099999,41978099999,41964099999,VGEG,remote,41989099999",1506,0,27.2,16.2,21.9,28.0,16.5,22.1,0.0,0.0,0,11.4,4.35,0.16
2014-02-16,46,Chittagong,25.0,17.9,20.1,25.0,17.9,20.1,16.3,79.6,1.2,100,29.17,rain,,,,23.6,76.4,1011.6,51.0,2.9,229.3,19.8,8,,2014-02-16T06:23:57,2014-02-16T17:50:04,0.54,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"41963099999,41966099999,41965099999,41978099999,41964099999,VGEG,remote,41989099999",1507,51,25.2,16.9,21.1,27.7,17.8,22.4,0.5,0.5,3,14.0,3.44,0.94
2014-02-17,47,Chittagong,21.0,17.0,19.9,21.0,17.0,19.9,18.3,90.6,23.1,100,45.83,rain,,,,25.2,121.7,1013.1,90.6,3.8,88.7,7.9,3,,2014-02-17T06:23:17,2014-02-17T17:50:36,0.58,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"41963099999,41966099999,41978099999,41964099999,VGEG,remote,41989099999",1508,61,20.2,17.8,18.9,22.0,18.6,20.2,16.5,16.5,13,14.4,0.77,1.28
2014-02-18,48,Chittagong,23.0,16.4,19.8,23.0,16.4,19.8,12.0,65.2,0.0,0,0.0,,,,,25.9,338.8,1015.5,19.6,4.1,253.7,22.1,9,,2014-02-18T06:22:37,2014-02-18T17:51:08,0.61,Clear,Clear conditions throughout the day.,clear-day,"41963099999,41966099999,41965099999,41978099999,41964099999,VGEG,remote,41989099999",1509,1,22.9,15.4,18.9,22.2,14.6,18.1,0.0,0.0,0,16.8,4.02,0.66
2014-02-19,49,Chittagong,24.0,14.5,19.5,24.0,14.5,19.5,13.4,69.7,0.0,0,0.0,,,,,18.4,333.9,1013.2,5.6,4.0,255.2,21.9,9,,2014-02-19T06:21:55,2014-02-19T17:51:39,0.65,Clear,Clear conditions throughout the day.,clear-day,"41963099999,41966099999,41965099999,41978099999,41964099999,VGEG,remote,41989099999",1510,0,24.6,15.1,19.5,25.8,13.8,19.3,0.0,0.0,0,16.5,4.14,0.41
2014-02-20,50,Chittagong,29.0,14.0,21.6,27.5,14.0,21.5,14.6,69.2,0.0,0,0.0,,,,,14.8,282.9,1013.2,14.5,3.8,253.9,21.9,9,,2014-02-20T06:21:13,2014-02-20T17:52:09,0.68,Clear,Clear conditions throughout the day.,clear-day,"41963099999,41966099999,41965099999,41978099999,41964099999,VGEG,remote,41989099999",1511,0,25.8,15.5,20.2,27.6,15.6,20.8,0.0,0.0,0,10.6,4.05,0.31
2014-02-21,51,Chittagong,27.1,15.2,21.4,27.0,15.2,21.3,14.9,69.9,0.0,0,0.0,,,,,22.3,299.7,1013.8,8.5,3.3,251.4,21.8,9,,2014-02-21T06:20:30,2014-02-21T17:52:39,0.72,Clear,Clear conditions throughout the day.,clear-day,"41963099999,41966099999,41965099999,41978099999,41964099999,VGEG,remote,41989099999",1512,0,26.2,15.5,20.3,27.7,15.7,20.7,0.0,0.0,0,11.2,4.24,0.25
